frame_index,timestamp_sec,rhino_id,min_person_distance_px,distance_to_road_px,risk_level
230,7.67,4,,190.5,LOW
231,7.7,1,,202.5,LOW
231,7.7,2,,168.5,LOW
231,7.7,3,,156.0,LOW
231,7.7,4,,191.5,LOW
232,7.73,1,,203.5,LOW
232,7.73,2,,168.5,LOW
232,7.73,3,,156.0,LOW
232,7.73,4,,192.5,LOW
233,7.77,1,,204.5,LOW
233,7.77,2,,168.5,LOW
233,7.77,3,,156.0,LOW
233,7.77,4,,193.5,LOW
234,7.8,1,,204.5,LOW
234,7.8,2,,168.5,LOW
234,7.8,3,,156.0,LOW
234,7.8,4,,193.5,LOW
235,7.83,1,,205.5,LOW
235,7.83,2,,168.5,LOW
235,7.83,3,,156.0,LOW
235,7.83,4,,194.5,LOW
236,7.87,1,,205.5,LOW
236,7.87,2,,168.5,LOW
236,7.87,3,,156.0,LOW
236,7.87,4,,195.5,LOW
237,7.9,1,,205.5,LOW
237,7.9,2,,168.5,LOW
237,7.9,3,,157.0,LOW
237,7.9,4,,195.5,LOW
238,7.93,1,,205.5,LOW
238,7.93,2,,168.5,LOW
238,7.93,3,,157.0,LOW
238,7.93,4,,195.5,LOW
239,7.97,1,,205.5,LOW
239,7.97,2,,168.5,LOW
239,7.97,3,,157.0,LOW
239,7.97,4,,195.5,LOW
240,8.0,1,,205.5,LOW
240,8.0,2,,168.5,LOW
240,8.0,3,,157.0,LOW
240,8.0,4,,195.5,LOW
241,8.03,1,,205.5,LOW
241,8.03,2,,168.5,LOW
241,8.03,3,,157.0,LOW
241,8.03,4,,194.5,LOW
242,8.07,1,,205.5,LOW
242,8.07,2,,168.5,LOW
242,8.07,3,,157.0,LOW
242,8.07,4,,193.5,LOW
243,8.1,1,,205.5,LOW
243,8.1,2,,168.5,LOW
243,8.1,3,,157.0,LOW
243,8.1,4,,193.5,LOW
244,8.13,1,,205.5,LOW
244,8.13,2,,168.5,LOW
244,8.13,3,,157.0,LOW
244,8.13,4,,192.5,LOW
245,8.17,1,,205.5,LOW
245,8.17,2,,169.5,LOW
245,8.17,3,,157.0,LOW
245,8.17,4,,192.5,LOW
246,8.2,1,,206.5,LOW
246,8.2,2,,169.5,LOW
246,8.2,3,,158.0,LOW
246,8.2,4,,192.5,LOW
247,8.23,1,,206.5,LOW
247,8.23,2,,170.5,LOW
247,8.23,3,,158.0,LOW
247,8.23,4,,192.5,LOW
248,8.27,1,,207.5,LOW
248,8.27,2,,171.5,LOW
248,8.27,3,,160.0,LOW
248,8.27,4,,192.5,LOW
249,8.3,1,,207.5,LOW
249,8.3,2,,171.5,LOW
249,8.3,3,,161.0,LOW
249,8.3,4,,191.5,LOW
250,8.33,1,,207.5,LOW
250,8.33,2,,171.5,LOW
250,8.33,3,,162.0,LOW
250,8.33,4,,191.5,LOW
251,8.37,1,,207.5,LOW
251,8.37,2,,171.5,LOW
251,8.37,3,,163.0,LOW
251,8.37,4,,190.5,LOW
252,8.4,1,,207.5,LOW
252,8.4,2,,170.5,LOW
252,8.4,3,,164.0,LOW
252,8.4,4,,189.5,LOW
253,8.43,1,,207.5,LOW
253,8.43,2,,169.5,LOW
253,8.43,3,,164.0,LOW
253,8.43,4,,189.5,LOW
254,8.47,1,,206.5,LOW
254,8.47,2,,168.5,LOW
254,8.47,3,,164.0,LOW
254,8.47,4,,188.5,LOW
255,8.5,1,,206.5,LOW
255,8.5,2,,166.5,LOW
255,8.5,3,,164.0,LOW
255,8.5,4,,188.5,LOW
256,8.53,1,,205.5,LOW
256,8.53,2,,164.5,LOW
256,8.53,3,,164.0,LOW
256,8.53,4,,187.5,LOW
257,8.57,1,,205.5,LOW
257,8.57,2,,163.5,LOW
257,8.57,3,,164.0,LOW
257,8.57,4,,187.5,LOW
258,8.6,1,,204.5,LOW
258,8.6,2,,162.5,LOW
258,8.6,3,,163.0,LOW
258,8.6,4,,187.5,LOW
259,8.63,1,,204.5,LOW
259,8.63,2,,161.5,LOW
259,8.63,3,,163.0,LOW
259,8.63,4,,187.5,LOW
260,8.67,1,,203.5,LOW
260,8.67,2,,160.5,LOW
260,8.67,3,,162.0,LOW
260,8.67,4,,187.5,LOW
261,8.7,1,,203.5,LOW
261,8.7,2,,159.5,LOW
261,8.7,3,,161.0,LOW
261,8.7,4,,187.5,LOW
262,8.73,1,,202.5,LOW
262,8.73,2,,158.5,LOW
262,8.73,3,,160.0,LOW
262,8.73,4,,187.5,LOW
263,8.77,1,,202.5,LOW
263,8.77,2,,157.5,LOW
263,8.77,3,,159.0,LOW
263,8.77,4,,187.5,LOW
264,8.8,1,,201.5,LOW
264,8.8,2,,155.5,LOW
264,8.8,3,,158.0,LOW
264,8.8,4,,187.5,LOW
265,8.83,1,,200.5,LOW
265,8.83,2,,154.5,LOW
265,8.83,3,,157.0,LOW
265,8.83,4,,188.5,LOW
266,8.87,1,,199.5,LOW
266,8.87,2,,153.5,LOW
266,8.87,3,,155.0,LOW
266,8.87,4,,188.5,LOW
267,8.9,1,,198.5,LOW
267,8.9,2,,152.5,LOW
267,8.9,3,,154.0,LOW
267,8.9,4,,188.5,LOW
268,8.93,1,,197.5,LOW
268,8.93,2,,152.5,LOW
268,8.93,3,,152.0,LOW
268,8.93,4,,189.5,LOW
269,8.97,1,,196.5,LOW
269,8.97,2,,150.5,LOW
269,8.97,3,,151.0,LOW
269,8.97,4,,189.5,LOW
270,9.0,1,,195.5,LOW
270,9.0,2,,148.5,LOW
270,9.0,3,,150.0,LOW
270,9.0,4,,189.5,LOW
271,9.03,1,,194.5,LOW
271,9.03,2,,146.5,LOW
271,9.03,3,,149.0,LOW
271,9.03,4,,189.5,LOW
272,9.07,1,,194.5,LOW
272,9.07,2,,145.5,LOW
272,9.07,3,,148.0,LOW
272,9.07,4,,189.5,LOW
273,9.1,1,,194.5,LOW
273,9.1,2,,143.5,LOW
273,9.1,3,,147.0,LOW
273,9.1,4,,189.5,LOW
274,9.13,1,,193.5,LOW
274,9.13,2,,141.5,LOW
274,9.13,3,,146.0,LOW
274,9.13,4,,189.5,LOW
275,9.17,1,,192.5,LOW
275,9.17,2,,139.5,LOW
275,9.17,3,,145.0,LOW
275,9.17,4,,189.5,LOW
